Date,Close,XOM,GOLD,BAC,DE_AGRI,BA,Labels
2015-12-28,55.95,78.74,62.08,17.13,77.97,144.54,111101
2015-12-29,56.55,79.16,62.4,17.28,77.64,147.35,000000
2015-12-30,56.31,78.11,62.05,17.05,77.5,146.41,000000
2015-12-31,55.48,77.95,61.93,16.83,76.27,144.59,001000
2016-01-04,54.8,77.46,62.48,16.43,76.08,140.5,111011
2016-01-05,55.05,78.12,62.58,16.43,76.52,141.07,001000
2016-01-06,54.05,77.47,63.08,16.08,75.66,138.83,001000
2016-01-07,52.17,76.23,65.74,15.5,74.99,133.01,100000
2016-01-08,52.33,74.69,63.78,15.2,73.76,129.99,000111
2016-01-11,52.3,73.69,62.68,15.31,74.15,130.21,110011
2016-01-12,52.78,75.2,60.99,15.31,74.52,131.92,011000
2016-01-13,51.64,75.65,61.72,14.9,73.22,128.12,110111
2016-01-14,53.11,79.12,61.03,14.99,73.6,129.2,001000
2016-01-15,50.99,77.58,62.12,14.46,73.12,125.63,000001
2016-01-19,50.56,76.4,60.88,14.24,72.46,126.06,101000
2016-01-20,50.79,73.18,63.33,13.69,72.0,122.14,011011
2016-01-21,50.48,74.1,65.12,13.36,73.03,123.4,111111
2016-01-22,52.29,76.57,65.67,13.56,74.61,124.61,000000
2016-01-25,51.79,73.98,65.61,12.96,71.78,124.01,111111
2016-01-26,52.17,76.7,68.97,13.31,73.57,128.01,001110
2016-01-27,51.22,75.29,69.12,13.36,73.63,116.58,111111
2016-01-28,52.055,76.99,69.49,13.53,74.81,118.01,111111
2016-01-29,55.09,77.85,70.72,14.14,77.01,120.13,001001
2016-02-01,54.71,76.29,72.57,13.96,76.8,121.56,000000
2016-02-02,53.0,74.59,72.53,13.23,74.58,117.52,011011
2016-02-03,52.16,78.48,75.2,13.03,75.41,121.87,011111
2016-02-04,52.0,79.83,76.8,13.25,78.7,123.61,011000
2016-02-05,50.16,80.08,78.3,12.95,78.42,122.56,011000
2016-02-08,49.41,81.16,85.12,12.27,77.07,119.47,000010
2016-02-09,49.28,80.08,84.05,12.2,78.08,118.88,101000
2016-02-10,49.71,79.35,84.66,11.98,77.41,116.36,011000
2016-02-11,49.69,79.6,87.86,11.16,76.41,108.44,111111
2016-02-12,50.5,81.03,90.28,11.95,78.27,108.63,110111
2016-02-16,51.09,81.22,84.41,12.25,79.81,112.6,111111
2016-02-17,52.42,82.0,87.15,12.56,81.43,116.34,011001
2016-02-18,52.19,82.45,90.26,12.24,80.33,117.57,011000
2016-02-19,51.82,82.5,90.85,12.13,77.0,115.16,100111
2016-02-22,52.65,82.39,90.84,12.54,78.4,117.39,001000
2016-02-23,51.18,81.23,91.77,12.16,77.14,116.9,110010
2016-02-24,51.36,81.52,91.03,12.13,79.0,115.59,110111
2016-02-25,52.1,82.01,90.53,12.32,79.6,116.82,000101
2016-02-26,51.3,81.75,89.38,12.7,79.47,118.16,001011
2016-02-29,50.88,80.15,91.25,12.52,80.18,118.18,110111
2016-03-01,52.58,81.28,87.76,13.19,81.05,119.96,111110
2016-03-02,52.95,82.7,88.61,13.41,81.84,119.65,001110
2016-03-03,52.35,82.4,89.92,13.5,83.67,119.61,001111
2016-03-04,52.03,82.29,91.01,13.54,84.88,121.07,011011
2016-03-07,51.03,84.46,91.25,13.53,85.68,122.9,100000
2016-03-08,51.65,82.63,88.74,13.06,83.85,122.35,101101
2016-03-09,52.84,82.4,89.33,13.14,83.04,122.86,001101
2016-03-10,52.05,82.18,91.66,13.27,82.38,122.94,110111
2016-03-11,53.07,82.19,90.13,13.79,82.95,124.63,110001
2016-03-14,53.17,82.41,88.08,13.64,81.85,126.34,111001
2016-03-15,53.59,82.82,89.76,13.57,80.65,126.36,111011
2016-03-16,54.35,82.87,92.46,13.31,81.41,127.57,111111
2016-03-17,54.66,84.1,93.55,13.4,83.06,130.7,010101
2016-03-18,53.49,84.2,93.46,13.79,82.63,133.96,100111
2016-03-21,53.86,83.62,92.1,13.84,82.72,135.86,111000
2016-03-22,54.07,84.12,92.75,13.76,82.26,135.12,000000
2016-03-23,53.97,83.75,88.5,13.62,80.84,132.86,111100
2016-03-24,54.21,83.98,90.1,13.68,80.24,132.12,010000
2016-03-28,53.54,84.22,89.81,13.62,80.17,131.29,111010
2016-03-29,54.71,84.53,93.1,13.42,80.5,130.88,100100
2016-03-30,55.05,84.52,90.94,13.48,80.12,128.58,100100
2016-03-31,55.23,83.59,90.81,13.52,76.99,126.94,100101
2016-04-01,55.57,82.96,90.54,13.56,76.5,126.96,010000
2016-04-04,55.43,83.16,88.19,13.51,75.9,126.34,001011
2016-04-05,54.56,82.21,90.04,13.19,76.07,127.03,111111
2016-04-06,55.12,83.31,90.24,13.27,76.34,127.93,001000
2016-04-07,54.46,82.37,92.43,12.85,76.18,127.0,011111
2016-04-08,54.42,83.21,94.07,12.88,76.31,127.88,011101
2016-04-11,54.31,83.32,96.24,12.97,75.75,127.91,111111
2016-04-12,54.65,84.35,97.97,13.27,76.6,129.47,110111
2016-04-13,55.35,84.83,94.6,13.79,78.46,131.14,110100
2016-04-14,55.36,85.43,92.22,14.14,77.66,130.85,101001
2016-04-15,55.65,84.97,94.53,14.0,77.44,131.13,110111
2016-04-18,56.46,85.78,93.05,14.17,78.32,131.97,011111
2016-04-19,56.39,86.21,96.36,14.45,82.36,132.68,010110
2016-04-20,55.59,86.8,92.79,14.93,84.26,130.57,101001
2016-04-21,55.78,86.79,94.12,14.9,82.8,130.74,010101
2016-04-22,51.78,87.53,93.27,15.11,82.8,131.05,100000
2016-04-25,52.11,87.33,91.4,14.96,82.41,130.75,011111
2016-04-26,51.44,87.63,92.6,15.09,83.42,133.24,011011
2016-04-27,50.94,88.46,93.31,15.02,84.71,137.08,001000
2016-04-28,49.9,88.03,95.19,14.79,83.93,134.8,011010
2016-04-29,49.87,88.4,100.5,14.56,84.11,134.8,110110
2016-05-02,50.61,89.13,99.68,14.77,84.29,134.01,000000
2016-05-03,49.78,88.11,95.66,14.36,83.4,132.49,100000
2016-05-04,49.87,87.94,85.29,14.13,82.18,130.89,110001
2016-05-05,49.94,88.04,84.73,14.05,81.2,132.08,111111
2016-05-06,50.39,88.51,89.45,14.11,81.45,133.26,010000
2016-05-09,50.07,88.57,85.36,13.99,80.58,132.1,111111
2016-05-10,51.02,89.99,87.4,14.3,83.81,134.72,101010
2016-05-11,51.05,88.81,89.89,14.2,83.9,133.0,110011
2016-05-12,51.51,89.67,88.79,14.14,84.15,134.42,000000
2016-05-13,51.08,88.66,88.34,13.88,82.47,132.12,111111
2016-05-16,51.83,89.57,90.99,13.93,83.63,134.14,001100
2016-05-17,50.51,89.53,91.78,14.01,83.2,132.56,100100
2016-05-18,50.81,89.35,87.57,14.69,82.6,130.99,011000
2016-05-19,50.32,90.11,88.32,14.53,82.25,128.08,101000
2016-05-20,50.62,89.74,89.32,14.52,77.74,127.39,000011
2016-05-23,50.03,89.6,88.12,14.47,77.88,127.58,110110
2016-05-24,51.59,89.67,84.81,14.68,79.64,127.5,111111
2016-05-25,52.12,90.26,85.97,14.92,80.49,128.86,001001
2016-05-26,51.89,89.8,86.1,14.7,80.27,129.31,110110
2016-05-27,52.32,90.01,83.51,14.88,80.5,129.22,101010
2016-05-31,53.0,89.02,84.31,14.79,82.29,126.15,011111
2016-06-01,52.85,89.24,84.69,14.86,82.83,126.41,001111
2016-06-02,52.48,88.53,84.86,14.94,84.06,126.85,001011
2016-06-03,51.79,88.37,92.02,14.42,85.57,127.38,111111
2016-06-06,52.13,89.34,92.13,14.52,87.48,131.9,010001
2016-06-07,52.1,90.71,90.71,14.35,87.31,131.93,011101
2016-06-08,52.04,90.79,94.82,14.43,87.18,133.0,001001
2016-06-09,51.62,90.67,96.12,14.19,86.95,133.1,000000
2016-06-10,51.48,89.98,94.73,13.83,85.67,131.14,010000
2016-06-13,50.14,90.59,94.66,13.6,85.32,129.92,000001
2016-06-14,49.83,90.43,92.3,13.26,85.15,130.5,001100
2016-06-15,49.69,90.16,95.87,13.34,84.83,130.16,110010
2016-06-16,50.39,91.22,94.56,13.31,85.12,129.37,001111
2016-06-17,50.13,90.72,94.87,13.4,86.0,129.82,011101
2016-06-20,50.07,91.12,95.63,13.54,85.59,132.75,110100
2016-06-21,51.19,91.53,94.12,13.62,84.09,131.52,001001
2016-06-22,50.99,91.17,95.27,13.61,83.92,131.77,110111
2016-06-23,51.91,91.8,94.9,14.04,84.29,133.55,001000
2016-06-24,49.83,89.39,101.17,13.0,81.72,126.52,001000
2016-06-27,48.43,88.86,106.9,12.18,80.58,122.7,110111
2016-06-28,49.44,90.91,105.52,12.7,81.38,123.89,111111
2016-06-29,50.54,92.46,107.66,13.19,81.51,126.99,111101
2016-06-30,51.17,93.74,112.04,13.27,81.04,129.87,011000
2016-07-01,51.16,93.84,117.61,13.1,80.9,129.69,101000
2016-07-05,51.17,93.02,122.47,12.74,79.17,126.97,111110
2016-07-06,51.38,94.09,125.41,12.86,79.47,126.96,000101
2016-07-07,51.38,92.96,119.08,13.01,79.37,127.17,111111
2016-07-08,52.3,93.54,122.32,13.17,80.97,130.09,111111
2016-07-11,52.59,93.89,123.59,13.21,80.99,132.04,110110
2016-07-12,53.21,94.95,118.15,13.54,82.42,130.81,101010
2016-07-13,53.51,94.88,120.3,13.44,82.96,130.11,110111
2016-07-14,53.74,94.95,118.9,13.65,83.64,131.55,010101
2016-07-15,53.7,95.12,117.1,13.66,83.41,132.39,101111
2016-07-18,53.96,94.82,118.06,14.11,83.82,133.43,000101
2016-07-19,53.09,94.47,117.17,14.26,83.26,134.66,100101
2016-07-20,55.91,93.93,113.03,14.4,82.81,134.72,001000
2016-07-21,55.8,93.85,115.21,14.27,82.22,133.53,111100
2016-07-22,56.57,94.01,115.87,14.38,80.12,133.47,100000
2016-07-25,56.73,92.2,111.95,14.37,77.92,132.94,101111
2016-07-26,56.76,91.53,113.7,14.53,78.99,134.85,001101
2016-07-27,56.19,90.91,115.8,14.63,78.45,135.96,101100
2016-07-28,56.21,90.2,116.52,14.68,78.17,133.01,101001
2016-07-29,56.68,88.95,117.61,14.49,77.71,133.66,001000
2016-08-01,56.58,85.86,118.9,14.33,77.69,133.21,011010
2016-08-02,56.58,87.04,119.83,14.13,77.7,131.6,110111
2016-08-03,56.97,87.49,118.88,14.48,78.31,131.87,100000
2016-08-04,57.39,87.48,113.24,14.48,77.74,131.21,110111
2016-08-05,57.96,87.56,109.49,15.05,78.34,131.73,110111
2016-08-08,58.06,88.59,109.13,15.13,78.92,132.19,111101
2016-08-09,58.2,88.7,110.49,15.19,78.89,132.62,001000
2016-08-10,58.02,86.41,111.1,14.81,78.15,132.28,110101
2016-08-11,58.3,86.72,110.61,14.88,77.99,133.0,010101
2016-08-12,57.94,87.85,109.11,14.91,77.0,133.1,101111
2016-08-15,58.12,87.81,109.23,15.02,78.28,134.66,011101
2016-08-16,57.44,87.92,111.11,15.17,78.15,135.0,110000
2016-08-17,57.56,88.11,109.33,15.15,77.43,134.72,111101
2016-08-18,57.6,88.91,110.12,15.16,76.94,135.0,100110
2016-08-19,57.62,87.8,108.6,15.22,87.32,134.44,110011
2016-08-22,57.67,87.99,105.81,15.18,87.96,134.99,100110
2016-08-23,57.89,87.72,104.97,15.35,88.09,134.14,110100
2016-08-24,57.95,88.02,99.27,15.4,87.42,133.29,101100
2016-08-25,58.17,87.46,99.63,15.53,87.29,132.98,000100
2016-08-26,58.03,87.27,99.09,15.79,86.74,132.23,110111
2016-08-29,58.1,87.84,99.04,15.84,86.93,132.9,000100
2016-08-30,57.89,87.52,94.4,16.19,85.72,130.81,000000
2016-08-31,57.46,87.14,93.65,16.14,84.55,129.45,101001
2016-09-01,57.59,86.84,96.5,15.98,83.55,129.9,111111
2016-09-02,57.67,87.42,99.82,16.0,84.05,131.16,011011
2016-09-06,57.61,88.57,104.2,15.78,84.47,132.99,100000
2016-09-07,57.66,88.24,104.05,15.7,84.02,132.64,010101
2016-09-08,57.43,89.05,101.51,15.86,83.58,132.9,000000
2016-09-09,56.21,86.84,97.74,15.74,82.23,128.53,111111
2016-09-12,57.05,87.29,100.29,15.9,83.09,130.12,000000
2016-09-13,56.53,85.21,96.76,15.72,81.09,128.76,001000
2016-09-14,56.26,84.6,97.5,15.63,80.57,127.67,110111
2016-09-15,57.19,85.08,97.06,15.67,81.61,127.77,100010
2016-09-16,57.25,84.03,96.48,15.49,81.95,126.7,001111
2016-09-19,56.93,83.83,98.37,15.59,82.11,127.48,000111
2016-09-20,56.81,82.54,97.83,15.6,82.47,127.79,111111
2016-09-21,57.76,83.3,102.44,15.65,83.05,130.56,111011
2016-09-22,57.82,83.54,104.0,15.6,84.16,131.87,000000
2016-09-23,57.43,83.45,101.09,15.52,83.34,131.78,000010
2016-09-26,56.9,83.06,100.83,15.09,83.58,130.57,110101
2016-09-27,57.95,83.24,100.44,15.29,83.05,131.32,111111
2016-09-28,58.03,86.9,103.16,15.38,84.09,132.23,000000
2016-09-29,57.4,86.46,102.2,15.16,83.86,131.03,110111
2016-09-30,57.6,87.28,100.07,15.65,85.35,131.74,000001
2016-10-03,57.42,87.05,99.25,15.63,85.35,132.38,000100
2016-10-04,57.24,86.25,90.56,15.8,84.7,132.25,111111
2016-10-05,57.64,87.0,90.59,16.11,85.12,134.66,110110
2016-10-06,57.74,87.04,87.25,16.22,85.29,134.42,101010
2016-10-07,57.8,86.74,88.25,16.13,86.3,133.85,110111
2016-10-10,58.04,88.44,86.96,16.3,87.49,135.84,000000
2016-10-11,57.19,87.74,83.89,16.11,87.05,133.74,001000
2016-10-12,57.11,87.13,84.7,16.03,86.94,133.16,001001
2016-10-13,56.92,86.56,86.05,15.83,86.34,133.38,100111
2016-10-14,57.42,86.54,83.04,16.0,86.4,133.5,001111
2016-10-17,57.22,86.54,83.83,16.05,86.47,134.0,111111
2016-10-18,57.66,86.77,86.57,16.26,86.61,135.1,011101
2016-10-19,57.53,87.17,86.97,16.47,86.56,136.18,010100
2016-10-20,57.25,87.21,86.93,16.56,86.11,135.84,101110
2016-10-21,59.66,86.62,86.94,16.67,86.43,135.63,110111
2016-10-24,61.0,86.91,85.55,16.77,86.7,137.45,001001
2016-10-25,60.99,86.72,87.21,16.72,86.52,139.02,010111
2016-10-26,60.63,87.09,85.78,16.87,87.04,145.54,000100
2016-10-27,60.1,86.92,85.36,16.91,87.0,143.31,001010
2016-10-28,59.87,84.78,85.85,16.68,87.17,143.01,101010
2016-10-31,59.92,83.32,88.73,16.5,88.3,142.43,011100
2016-11-01,59.8,83.65,89.86,16.61,88.09,142.41,001010
2016-11-02,59.43,83.45,90.03,16.48,88.16,140.75,010010
2016-11-03,59.21,83.66,88.0,16.48,88.3,140.02,000100
2016-11-04,58.71,83.57,85.89,16.55,88.06,139.54,110111
2016-11-07,60.42,85.45,83.91,17.01,89.0,143.03,100000
2016-11-08,60.47,85.31,83.71,17.0,88.99,142.2,011111
2016-11-09,60.17,86.25,86.22,17.97,90.11,145.09,010111
2016-11-10,58.7,87.05,77.53,18.76,90.7,147.69,100111
2016-11-11,59.02,85.67,73.67,19.02,91.1,148.52,000111
2016-11-14,58.12,85.28,73.27,20.08,91.62,149.99,111100
2016-11-15,58.87,86.82,74.71,20.16,91.25,148.11,100000
2016-11-16,59.65,85.75,74.12,19.75,91.25,146.44,100110
2016-11-17,60.64,85.23,73.69,20.08,91.77,145.33,010011
2016-11-18,60.35,85.28,72.19,20.0,91.96,146.35,111111
2016-11-21,60.86,86.49,74.59,20.33,92.3,147.02,110001
2016-11-22,61.12,86.68,73.44,20.3,92.01,149.52,010111
2016-11-23,60.4,86.92,70.92,20.56,102.17,149.74,111111
2016-11-25,60.53,87.12,71.09,20.86,103.92,150.04,101000
2016-11-28,60.61,86.47,74.29,20.3,101.7,149.77,100001
2016-11-29,61.09,85.9,73.61,20.29,100.35,151.64,010100
2016-11-30,60.26,87.3,71.88,21.12,100.2,150.56,001111
2016-12-01,59.2,87.24,72.39,21.5,102.7,152.39,101000
2016-12-02,59.25,87.04,73.76,21.23,101.5,152.25,110100
2016-12-05,60.22,87.48,72.84,21.84,101.29,152.16,011111
2016-12-06,59.95,87.56,73.07,22.16,102.52,152.24,111111
2016-12-07,61.37,88.07,74.61,22.57,102.86,154.14,011111
2016-12-08,61.01,88.32,74.65,22.95,103.92,155.39,110101
2016-12-09,61.97,89.0,73.12,23.09,103.62,156.49,110001
2016-12-12,62.17,90.98,72.85,22.61,102.42,157.16,111000
2016-12-13,62.98,92.58,73.91,22.61,101.33,156.66,000100
2016-12-14,62.68,90.58,71.12,22.67,100.55,154.47,010110
2016-12-15,62.58,90.89,68.8,23.16,101.4,153.77,010011
2016-12-16,62.3,91.18,68.74,22.66,101.76,154.5,101011
2016-12-19,63.62,90.42,70.45,22.48,102.25,156.18,011111
2016-12-20,63.54,90.43,70.63,22.71,103.64,156.39,000001
2016-12-21,63.54,90.28,70.29,22.63,103.09,157.48,111000
2016-12-22,63.55,90.87,71.1,22.54,103.09,157.46,001111
2016-12-23,63.24,90.71,71.84,22.6,103.12,157.81,111110
2016-12-27,63.28,90.75,72.86,22.61,103.9,157.48,001000
2016-12-28,62.99,90.3,75.56,22.33,103.41,156.1,011000
2016-12-29,62.9,90.35,79.08,22.0,103.21,155.69,000100
2016-12-30,62.14,90.26,76.34,22.1,103.04,155.68,111111
2017-01-03,62.58,90.89,79.01,22.53,104.05,156.97,001111
2017-01-04,62.3,89.89,79.29,22.95,105.82,158.62,001001
2017-01-05,62.3,88.55,82.71,22.68,105.35,158.71,100011
2017-01-06,62.84,88.5,80.9,22.68,106.49,159.1,000000
2017-01-09,62.64,87.04,80.82,22.55,105.19,158.32,001101
2017-01-10,62.62,85.93,81.61,22.94,104.89,159.07,110111
2017-01-11,63.19,86.81,80.37,23.07,105.71,159.4,001000
2017-01-12,62.61,86.34,81.78,22.92,105.17,158.29,111111
2017-01-13,62.7,86.35,81.9,23.01,105.79,158.83,011000
2017-01-17,62.53,87.36,83.44,22.05,104.34,157.67,000111
2017-01-18,62.5,86.28,82.39,22.63,105.24,158.32,000001
2017-01-19,62.3,84.73,82.14,22.53,105.02,159.0,111111
2017-01-20,62.74,85.89,82.89,22.64,106.74,159.53,101010
2017-01-23,62.96,84.97,85.85,22.56,107.12,157.84,110111
2017-01-24,63.52,85.09,84.99,22.95,107.67,160.55,110111
2017-01-25,63.68,85.34,83.58,23.37,108.06,167.36,110101
2017-01-26,64.27,85.6,81.3,23.44,107.63,169.12,101010
2017-01-27,65.78,85.51,82.26,23.36,107.99,167.7,000000
2017-01-30,65.13,84.86,82.16,22.95,107.06,165.57,001000
2017-01-31,64.65,83.89,84.94,22.64,107.05,163.42,000111
2017-02-01,63.58,82.94,84.87,22.89,107.15,163.97,011010
